23-Feb-2018 00:02:41.077 [main] DEBUG org.jboss.logging - Logging Provider: org.jboss.logging.Slf4jLoggerProvider
23-Feb-2018 00:02:41.220 [main] DEBUG o.h.b.r.c.i.ClassLoaderServiceImpl - Incoming config yielded no classloaders; adding standard SE ones
23-Feb-2018 00:02:41.323 [main] DEBUG o.h.jpa.HibernatePersistenceProvider - Located and parsed 1 persistence units; checking each
23-Feb-2018 00:02:41.324 [main] DEBUG o.h.jpa.HibernatePersistenceProvider - Checking persistence-unit [name=Joel, explicit-provider=org.hibernate.ejb.HibernatePersistence] against incoming persistence unit name [Joel]
23-Feb-2018 00:02:41.325 [main] DEBUG o.h.jpa.boot.spi.ProviderChecker - Persistence-unit [Joel] requested PersistenceProvider [org.hibernate.ejb.HibernatePersistence]
23-Feb-2018 00:02:41.332 [main] DEBUG o.h.jpa.internal.util.LogHelper - PersistenceUnitInfo [
	name: Joel
	persistence provider classname: org.hibernate.ejb.HibernatePersistence
	classloader: null
	excludeUnlistedClasses: false
	JTA datasource: null
	Non JTA datasource: null
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/home/joel/Documents/book-store/book-store-services/target/classes/
	Shared Cache Mode: null
	Validation Mode: null
	Jar files URLs []
	Managed classes names []
	Mapping files names []
	Properties [
		hibernate.c3p0.testConnectionOnCheckin: true
		javax.persistence.jdbc.url: jdbc:mysql://localhost:3306/book_store?u‌seSSL=false;
		javax.persistence.jdbc.password: P@ssword
		hibernate.c3p0.idle_test_period: 3600
		hibernate.c3p0.maxConnectionAge: 10
		hibernate.show_sql: true
		hibernate.c3p0.max_statements: 100
		hibernate.c3p0.timeout: 30
		hibernate.c3p0.contextClassLoaderSource: library
		hibernate.c3p0.idleConnectionTestPeriod: 1800
		hibernate.c3p0.maxPoolSize: 200
		hibernate.c3p0.maxIdleTimeExcessConnections: 300
		hibernate.c3p0.privilegeSpawnedThreads: true
		hibernate.c3p0.acquireRetryAttempts: 0
		hibernate.c3p0.acquireRetryDelay: 3000
		hibernate.c3p0.min_size: 20
		hibernate.format_sql: true
		javax.persistence.jdbc.user: hris
		hibernate.c3p0.initialPoolSize: 10
		hibernate.c3p0.maxStatements: 50
		hibernate.connection.isolation: 2
		javax.persistence.jdbc.driver: com.mysql.jdbc.Driver
		hibernate.cache.provider_class: org.hibernate.cache.NoCacheProvider
		hibernate.c3p0.max_size: 200
		statementCacheNumDeferredCloseThreads: 1
		hibernate.c3p0.minPoolSize: 5
		hibernate.dialect: org.hibernate.dialect.MySQLDialect]
23-Feb-2018 00:02:41.348 [main] DEBUG o.h.i.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
23-Feb-2018 00:02:41.350 [main] DEBUG o.h.i.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
23-Feb-2018 00:02:41.354 [main] DEBUG o.h.i.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
23-Feb-2018 00:02:41.355 [main] DEBUG o.h.i.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.jpa.event.spi.JpaIntegrator].
23-Feb-2018 00:02:41.440 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.1.0.Final}
23-Feb-2018 00:02:41.443 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
23-Feb-2018 00:02:41.446 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
23-Feb-2018 00:02:41.465 [main] DEBUG o.h.service.spi.ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
23-Feb-2018 00:02:41.493 [main] DEBUG o.h.c.i.RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
23-Feb-2018 00:02:41.505 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
23-Feb-2018 00:02:41.696 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2f177a4b
23-Feb-2018 00:02:41.697 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2f177a4b
23-Feb-2018 00:02:41.697 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2f177a4b
23-Feb-2018 00:02:41.699 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@15b204a1
23-Feb-2018 00:02:41.700 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@47542153
23-Feb-2018 00:02:41.702 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@309e345f
23-Feb-2018 00:02:41.704 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6b26e945
23-Feb-2018 00:02:41.704 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6b26e945
23-Feb-2018 00:02:41.704 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6b26e945
23-Feb-2018 00:02:41.706 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@3c9d0b9d
23-Feb-2018 00:02:41.707 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@3c9d0b9d
23-Feb-2018 00:02:41.707 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3c9d0b9d
23-Feb-2018 00:02:41.709 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@163e4e87
23-Feb-2018 00:02:41.710 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@163e4e87
23-Feb-2018 00:02:41.710 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@163e4e87
23-Feb-2018 00:02:41.712 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5276e6b0
23-Feb-2018 00:02:41.713 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5276e6b0
23-Feb-2018 00:02:41.713 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5276e6b0
23-Feb-2018 00:02:41.715 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1ffe63b9
